Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2025-01-08;31.755;34.135;31.755;34.05;7984.365
2025-01-09;35.545;35.545;35.305;35.305;1307.725
2025-01-10;36.505;40.325;36.4;40.135;52302.115
2025-01-13;41.135;42.58;39.865;40.03;8454.48
2025-01-14;37.0;37.0;37.0;37.0;2035.0
2025-01-15;39.1;39.405;35.76;35.76;2275.83
2025-01-16;34.44;36.485;34.44;36.485;7307.725
2025-01-20;33.225;33.225;33.225;33.225;1129.65
2025-01-21;32.8;33.585;32.8;33.585;2475.7
2025-01-23;32.755;32.755;32.755;32.755;6649.265
2025-01-24;32.01;32.01;31.15;31.15;29281.28
2025-01-27;36.94;38.14;35.72;38.14;14502.6
2025-01-28;36.385;38.825;36.22;38.74;18198.685
2025-01-29;37.945;37.945;37.945;37.945;75.89
2025-01-31;33.755;34.095;33.755;34.095;2683.645
2025-02-03;41.59;41.59;40.3;40.3;14992.89
2025-02-04;37.985;37.985;36.3;36.3;1728.775
2025-02-05;43.23;44.235;42.555;42.945;9320.385
2025-02-06;41.05;42.335;40.59;42.335;2447.06
2025-02-07;42.365;45.075;42.365;44.39;115361.125
2025-02-10;46.43;46.43;43.885;43.885;807.745
2025-02-11;41.765;41.765;41.765;41.765;1085.89
2025-02-14;37.35;38.255;37.35;38.255;2948.595
2025-02-17;37.775;38.5;37.775;38.5;191.775
2025-02-18;38.535;38.535;37.065;37.065;2272.95
2025-02-19;36.62;36.62;36.62;36.62;146.48
2025-02-20;38.525;38.525;38.525;38.525;77.05
2025-02-21;37.185;38.0;36.5;38.0;3240.295
2025-02-24;40.0;41.89;39.945;41.89;5622.85
2025-02-25;43.13;46.77;43.13;46.27;8499.395
2025-02-26;45.405;47.5;45.405;46.705;3125.98
2025-02-27;47.355;50.41;47.355;50.02;7305.78
2025-02-28;53.63;53.63;52.77;52.77;8350.84
2025-03-03;52.72;52.72;51.67;52.62;2672.77
2025-03-04;56.0;60.38;56.0;58.74;26648.58
